185.2818 295.9806 0.8567 0.1579 1.0000
278.2046 26.7313 0.9235 0.2870 1.0000
153.5778 29.1349 0.9422 0.0340 1.0000
11.5050 259.6028 0.8923 0.2746 1.0000
254.5350 90.8197 0.8918 0.3112 1.0000
91.3309 204.5320 0.9501 0.4153 1.0000
201.6414 279.3607 0.8087 0.1346 1.0000
242.5200 230.8051 0.8923 0.3018 1.0000
71.1579 82.1927 0.9343 0.0624 1.0000
123.8398 180.6671 0.7651 0.3482 1.0000
271.6375 45.6935 0.9554 0.3275 1.0000
105.0556 169.8875 0.7458 0.1418 1.0000
200.4315 126.1701 0.8235 0.2034 1.0000
286.0615 214.7069 0.8173 0.1477 1.0000
194.0692 147.5984 0.7626 0.1659 1.0000
219.3915 250.7639 0.9220 0.1951 1.0000
44.9236 269.0575 0.7305 0.2134 1.0000
216.1645 52.1690 0.9524 0.0740 1.0000
98.1974 132.9579 0.7063 0.0187 1.0000
271.4154 163.1557 0.8621 0.4168 1.0000
171.2084 197.7191 0.7265 0.1005 1.0000
43.7418 143.8105 0.7935 0.1548 1.0000
82.9293 248.8616 0.8189 0.0779 1.0000
58.2678 219.6710 0.7532 0.1365 1.0000
126.5359 166.3784 0.7402 0.0644 1.0000
224.7444 74.4694 0.7731 0.3150 1.0000
131.3494 249.4474 0.7154 0.3948 1.0000
139.2551 292.2019 0.8971 0.2406 1.0000
49.4781 37.0092 0.9353 0.4019 1.0000
204.7679 259.7342 0.7722 0.3176 1.0000
81.6807 109.4100 0.9483 0.1861 1.0000
146.7299 48.5678 0.8705 0.2368 1.0000
290.4276 116.8585 0.9604 0.3759 1.0000
286.2584 107.7294 0.8478 0.0330 1.0000
209.9816 103.3519 0.9657 0.3314 1.0000
19.1797 259.1852 0.8454 0.2587 1.0000
57.7220 90.9405 0.9474 0.0569 1.0000
90.3869 218.0694 0.7322 0.1334 1.0000
185.7239 268.4220 0.8087 0.2230 1.0000
265.9425 108.3784 0.7062 0.1124 1.0000
164.8175 114.7898 0.8639 0.3106 1.0000
160.0872 282.8396 0.7346 0.2710 1.0000
153.3674 213.8016 0.8512 0.0828 1.0000
205.8639 220.0649 0.8702 0.1101 1.0000
174.6509 62.9167 0.8647 0.0189 1.0000
196.6794 72.7601 0.7053 0.0939 1.0000
68.4811 198.3643 0.7470 0.2298 1.0000
132.5199 111.5550 0.9505 0.0851 1.0000
30.3516 93.7520 0.9432 0.4374 1.0000
204.1591 143.0063 0.7094 0.4341 1.0000
240.2460 276.8949 0.7632 0.3284 1.0000
96.9842 142.3243 0.7107 0.1537 1.0000
180.1515 136.0652 0.9740 0.1487 1.0000
250.9966 266.7894 0.9667 0.0825 1.0000
197.6608 234.9139 0.7944 0.1863 1.0000
260.2570 209.0409 0.7342 0.0150 1.0000
81.1431 176.4765 0.8535 0.0511 1.0000
222.6579 130.6389 0.7171 0.2992 1.0000
40.1459 33.6046 0.8281 0.3842 1.0000
95.1948 280.9018 0.9186 0.1096 1.0000
237.8731 279.9033 0.7943 0.3102 1.0000
105.7235 29.7656 0.9512 0.3693 1.0000
297.6351 173.3566 0.8961 0.4296 1.0000
61.7603 127.8182 0.9690 0.3872 1.0000
48.8328 161.5441 0.8803 0.4445 1.0000
273.6729 287.6458 0.7009 0.1705 1.0000
153.2840 213.4329 0.7593 0.1372 1.0000
49.6987 22.4607 0.9885 0.2822 1.0000
135.0692 295.9508 0.7088 0.1826 1.0000
62.1094 226.7399 0.9820 0.0353 1.0000
226.8525 41.3542 0.9767 0.0191 1.0000
231.5774 254.8550 0.9430 0.4402 1.0000
